time,Ix(U40:VDD)
5.02E-05,"	-1.133465e-004"
5.02E-05,"	-1.127947e-004"
5.02E-05,"	-1.127108e-004"
5.02E-05,"	-1.127084e-004"
5.02E-05,"	-1.127060e-004"
5.02E-05,"	-1.127031e-004"
5.02E-05,"	-1.126992e-004"
5.02E-05,"	-1.126928e-004"
5.02E-05,"	-1.126892e-004"
5.02E-05,"	-1.126826e-004"
5.02E-05,"	-1.126732e-004"
5.02E-05,"	-1.126683e-004"
5.02E-05,"	-1.126680e-004"
5.02E-05,"	-1.126677e-004"
5.51E-05,"	-1.126677e-004"
5.51E-05,"	-1.126947e-004"
5.51E-05,"	-1.127202e-004"
5.51E-05,"	-1.127327e-004"
5.51E-05,"	-1.127345e-004"
5.51E-05,"	-1.127335e-004"
5.51E-05,"	-1.127327e-004"
5.51E-05,"	-1.127225e-004"
5.51E-05,"	-1.124022e-004"
5.52E-05,"	-1.118947e-004"
5.52E-05,"	-1.116886e-004"
5.52E-05,"	-1.116849e-004"
5.52E-05,"	-1.116843e-004"
5.52E-05,"	-1.116833e-004"
5.52E-05,"	-1.116819e-004"
5.52E-05,"	-1.116811e-004"
5.52E-05,"	-1.116797e-004"
5.52E-05,"	-1.116705e-004"
5.52E-05,"	-1.116659e-004"
5.52E-05,"	-1.116658e-004"
5.52E-05,"	-1.116658e-004"
6.00E-05,"	-1.116658e-004"
6.00E-05,"	-1.116476e-004"
6.00E-05,"	-1.116386e-004"
6.00E-05,"	-1.116389e-004"
6.00E-05,"	-1.116402e-004"
6.00E-05,"	-1.116431e-004"
6.00E-05,"	-1.116479e-004"
6.00E-05,"	-1.116546e-004"
6.00E-05,"	-1.121725e-004"
6.01E-05,"	-1.135615e-004"
6.01E-05,"	-1.144792e-004"
6.01E-05,"	-1.145376e-004"
6.01E-05,"	-1.144664e-004"
6.01E-05,"	-1.145133e-004"
6.01E-05,"	-1.145098e-004"
6.01E-05,"	-1.145209e-004"
6.01E-05,"	-1.145365e-004"
6.01E-05,"	-1.145450e-004"
6.01E-05,"	-1.145569e-004"
6.01E-05,"	-1.145709e-004"
6.01E-05,"	-1.146703e-004"
6.01E-05,"	-1.147588e-004"
6.01E-05,"	-1.147926e-004"
6.01E-05,"	-1.147939e-004"
6.01E-05,"	-1.147921e-004"
6.01E-05,"	-1.147904e-004"
6.01E-05,"	-1.147173e-004"
6.01E-05,"	-1.137038e-004"
6.02E-05,"	-1.119853e-004"
6.02E-05,"	-1.108560e-004"
6.02E-05,"	-1.106679e-004"
6.02E-05,"	-1.106643e-004"
6.02E-05,"	-1.106609e-004"
6.02E-05,"	-1.106561e-004"
6.02E-05,"	-1.106503e-004"
6.02E-05,"	-1.106408e-004"
6.02E-05,"	-1.106366e-004"
6.02E-05,"	-1.106314e-004"
6.02E-05,"	-1.106252e-004"
6.02E-05,"	-1.106158e-004"
6.02E-05,"	-1.106107e-004"
6.02E-05,"	-1.106102e-004"
6.51E-05,"	-1.106098e-004"
6.51E-05,"	-1.106367e-004"
6.51E-05,"	-1.106622e-004"
6.51E-05,"	-1.106748e-004"
6.51E-05,"	-1.106771e-004"
