time	Ix(U40:VDD)
5.013902546211336e-005	-6.515514e-004
5.014241280929737e-005	-6.515429e-004
5.014716171518908e-005	-6.515539e-004
5.015665952697250e-005	-6.515500e-004
5.017565515053936e-005	-6.515498e-004
5.018542943831659e-005	-6.515513e-004
5.019020074987827e-005	-6.515497e-004
5.019363825125109e-005	-6.515495e-004
5.020000000000000e-005	-6.515491e-004
5.020046899382614e-005	-6.515384e-004
5.020140698147840e-005	-6.515314e-004
5.020328295678294e-005	-6.515292e-004
5.502036434514506e-005	-6.515287e-004
5.510000000000000e-005	-6.515285e-004
5.510076374197480e-005	-6.507363e-004
5.510229122592439e-005	-6.492484e-004
5.510534619382357e-005	-6.464923e-004
5.511145612962194e-005	-6.415669e-004
5.512367600121867e-005	-6.340658e-004
5.512914310951026e-005	-6.325546e-004
5.513571096836108e-005	-6.323380e-004
5.513989507160704e-005	-6.323316e-004
5.514468538307279e-005	-6.323388e-004
5.515426600600427e-005	-6.323359e-004
5.517342725186726e-005	-6.323359e-004
5.518503787120722e-005	-6.323355e-004
5.520000000000000e-005	-6.323408e-004
5.520050294398809e-005	-6.323280e-004
5.520150883196428e-005	-6.323196e-004
5.520352060791664e-005	-6.323181e-004
5.994343231953827e-005	-6.323181e-004
6.000000000000000e-005	-6.323181e-004
6.000046550370685e-005	-6.322982e-004
6.000139651112055e-005	-6.322861e-004
6.000325852594793e-005	-6.322830e-004
6.000698255560271e-005	-6.322818e-004
6.001443061491227e-005	-6.322814e-004
6.002610443670369e-005	-6.322808e-004
6.003909103571187e-005	-6.322802e-004
6.005749435101267e-005	-6.322780e-004
6.006537009193627e-005	-6.324809e-004
6.007065145890624e-005	-6.334734e-004
6.007498083981582e-005	-6.358254e-004
6.007873066746202e-005	-6.394006e-004
6.008288984413422e-005	-6.445801e-004
6.008680147873045e-005	-6.500456e-004
6.009224957291083e-005	-6.578740e-004
6.010000000000000e-005	-6.687951e-004
6.010077504270892e-005	-6.674582e-004
6.010232512812676e-005	-6.654890e-004
6.010542529896244e-005	-6.627938e-004
6.011162564063378e-005	-6.580183e-004
6.011742202965679e-005	-6.537475e-004
6.012901480770282e-005	-6.462910e-004
6.013500719925850e-005	-6.436008e-004
6.013959287311587e-005	-6.426812e-004
6.014419155979689e-005	-6.424339e-004
6.014859561622831e-005	-6.423739e-004
6.015265215836753e-005	-6.423644e-004
6.015729022968316e-005	-6.423710e-004
6.016656637231442e-005	-6.423676e-004
6.018144771473750e-005	-6.423672e-004
6.018706135292151e-005	-6.423675e-004
6.019315451715811e-005	-6.423664e-004
6.019616379157928e-005	-6.423669e-004
6.019781765957840e-005	-6.423671e-004
6.020000000000001e-005	-6.423680e-004
6.020021823404217e-005	-6.423576e-004
6.020065470212649e-005	-6.423509e-004
6.020152763829513e-005	-6.423482e-004
6.020327351063242e-005	-6.423464e-004
6.510000000000001e-005	-6.423460e-004
6.510076204979913e-005	-6.415830e-004
6.510228614939736e-005	-6.401602e-004
6.510533434859382e-005	-6.375323e-004
6.511143074698675e-005	-6.328407e-004
6.512362354377261e-005	-6.257031e-004
6.512906393968499e-005	-6.242591e-004
6.513562487452724e-005	-6.240397e-004
6.513980902764367e-005	-6.240333e-004
6.514458963853927e-005	-6.240407e-004
6.515415086033049e-005	-6.240372e-004
6.517327330391290e-005	-6.240373e-004
6.518502516548446e-005	-6.240369e-004
